word;translation;gender;note;tags
buccia;Schale, Hülse;[f];;noun
flebile;leise, schwach;;;adjective
essere in auge;angesagt sein, in sein;;;verb
marciare;marschieren;;;verb
cruscotto;Armaturenbrett;[m];;noun
sfilza;Reihe;[f];;noun
annerite;geschwärzt;;;adjective
trasognato;träumerisch;;;adjective
mischia;Gewühl, Gedränge;[f];;noun
frac;Frack;[m];;noun
arzigogolare;austüfteln, grübeln;;;verb
guscio;Schale, Gehäuse;[m];;noun
lucernario;Dachfenster;[m];;noun
assalitore;Angreifer;[m];;noun
gingillarsi;tändeln, herumspielen;;;verb
oleoso;ölig, ölhaltig;;;adjective
scampo;Scampi;;;noun
malaticcio;kränklich;;;adjective
spiedo;Bratspieß;[m];;noun
colabrodo;Sieb;[m];;noun
airone;Reiher;[m];;noun
fardello;Bündel, Bürde, Last;[m];;noun
agi;Wohlstand;[m];;noun
agio;Bequemlichkeit, Annehmlichkeit;[m];;noun
rimpicciolire;verkleinern;;;verb
pollaio;Hühnerstall, Irrenhaus;[m];;noun
gabbare;hintergehen, sich über jmd lustig machen;;;verb
inesorabile;unerbitterlich;;;adjective
refurtiva;Diebesgut, Beute;[f];;noun
teppista;Rowdy;[m];;noun
chiazza;Fleck, Klecks;[f];;noun
chiazzare;beflecken;;;verb
borbottare;murmeln, brummeln;;;verb
incudine;Amboss;[f];;noun
deglutire;verschlucken;;;verb
stecca;Stab, Stange;[f];;noun
esposto;ausgestellt, ausgelegt;;;adjective
accasciare;entkräften, entmutigen;;;verb
mozzafiato;atemberaubend;;;adjective
annaspare;haspeln, herumfuchteln;;;verb
paranco;Flaschenzug;[m];;noun
consulenza;Beratung;[f];;noun
telaio;Rahmen, Gestell;[m];;noun
serbatoio;Behälter, Tank;[m];;noun
raddoppiare;verdoppeln;;;verb
carneficina;Blutbad;[f];;noun
ficcanaso;Schnüffler;[m];;noun
letamaio;Misthaufen;[m];;noun
ciarpame;Kram, Gerümpel;[m];;noun
seghettato;zackig, gezackt;;;adjective
pianerottolo;Treppenabsatz;[m];;noun
disinnescare;entschärfen;;;verb
mascalzone;Schurke, Gauner;[m];;noun
ciondolare;baumeln, hängen;;;verb
tegola;Dachziegel;[f];;noun
legname;Nutzholz;[m];;noun
arbusto;Strauch, Busch;[m];;noun
trave;Balken, Träger;[f];;noun
intonacare;verputzen;;;verb
scoscio;Spagat, Gabelung;[m];;noun
voragine;Schlund, Abgrund;[f];;noun
macerie;Trümmer, Schutt;[f];;noun
fogliame;Laubwerk;[m];;noun
frustare;auspeitschen, geißeln;;;verb
serranda;Rolladen, Rollgitter;[f];;noun
foschia;Dunst;[f];;noun
alluvione;Überschwemmung;[f];;noun
argine;Damm;[m];;noun
mulo;Maultier;[m];;noun
fognaiolo;Kanalarbeiter;[m];;noun
oblio;Vergessenheit;[m];;noun
coprifuoco;Ausgangssperre;[m];;noun
tribù;Volksstamm;[f];;noun
dilettante;Amateur-;;;adjective
decadere;ver-, zerfallen, sinken;;;verb
ravvivare;wiederbeleben;;;verb
cordoglio;Trauer;[m];;noun
scherno;Verhöhnung;[m];;noun
spintone;Stoß;[m];;noun
bile;Galle;[f];;noun
mesto;wehmütig, traurig;;;adjective
inzuppato;getränkt, durchnässt;;;adjective
rammaricare;bedauern;;;verb
acciottolare;pflastern;;;verb
erbaccia;Unkraut;[f];;noun
infittire;dichter machen, verdichten;;;verb
imboscata;Hinterhalt;[f];;noun
incrocio;Kreuzung;[m];;noun
incrociare;kreuzen, treffen;;;verb
macellaio;Fleischer, Metzger;[m];;noun
cencio;Lumpen, Lappen;[m];;noun
furgoncino;Kleintransporter;[m];;noun
fioraio;Florist;[m];;noun
agghindare;herausputzen, zurechtmachen;;;verb
diramazione;Verzweigung, Abzweigung;[f];;noun
allenare;trainieren;;;verb
pavone;Pfau;[m];;noun
canguro;Känguru;[m];;noun
padiglione;Halle, Messehalle;[m];;noun
sbirciare;schielen;;;verb
foderare;füttern;;;verb
grassoccio;dicklich;;;adjective
qualsivoglia;jeder, beliebig;;;adjective
anatra;Ente;[f];;noun
pergola;Laube, Pergola;[f];;noun
conca;Becken;[f];;noun
maglio;Hammer, Schläger;[m];;noun
ebano;Ebenholz;[m];;noun
stellina;Sternchen;[f];;noun
guazzabuglio;Durcheinander, Gewirr;[m];;noun
floscio;schlapp, schlaff;;;adjective
argilla;Lehm;[f];;noun
protuberante;vorspringend, vorstehend;;;adjective
scimmietta;Äffchen;[f];;noun
ghermire;anpacken;;;verb
scemare;nachlassen, abflauen;;;verb
cinereo;aschenfarben;;;adjective
giada;Jade;[f];;noun
tiranneggiare;tyrannisieren;;;verb
limitrofo;angrenzend;;;adjective
tirocinio;Praktikum, Lehre;[m];;noun
bagliore;Schimmer, Leuchten;[m];;noun
levigato;glatt, geschliffen;;;adjective
esanime;leblos, entseelt;;;adjective
capigliatura;Kopfhaar;[f];;noun
corvino;Raben-;;;adjective
rilegare;binden;;;verb
sacerdozio;Priestertum;[m];;noun
sommesso;leise;;;adjective, adverb
mugghiare;muhen, brüllen;;;verb
zelo;Eifer;[m];;noun
preda;Opfer, Beute;[f];;noun
vacillare;schwanken, wanden;;;verb
deridere;auslachen, verspotten;;;verb
autocompiacimento;Selbstgefälligkeit;[m];;noun
salasso;Aderlass;[m];;noun
merletto;Spitze;[m];;noun
aurora;Morgetrot;[f];;noun
febbricitante;fiebrig, fieberkrank;;;adjective
sgretolare;zerbröckeln, zerpflücken;;;verb
ciuffo;Schopf, Büschel;[m];;noun
viltà;Feigheit;[f];;noun
fatuità;Eitelkeit, Overflächlichkeit;[f];;noun
cupo;düster, finster;;;adjective
cazzata;Scheißdreck;[f];;noun
piolo;Pflock;[m];;noun
sgabuzzino;Abstellraum;[m];;noun
cianciare;schwatzen, schwafeln;;;verb
brulicare;wimmeln;;;verb
pilastro;Pfeiler, Stütze;[m];;noun
perenne;ewig, dauernd;;;adjective
scortesia;Unhöflichkeit;[f];;noun
beffardo;spöttisch, höhnisch;;;adjective
tepore;angenehme Wärme;[m];;noun
assaporare;kosten schmecken;;;verb
distacco;Trennung, Abstand;[m];;noun
